Source,Target,Type,Id,Label,timeset,Weight
16,14,Undirected,202,,,10
359,95,Undirected,203,,,5
2,14,Undirected,204,,,8
2,363,Undirected,205,,,5
2,9,Undirected,206,,,8
2,361,Undirected,207,,,5
2,21,Undirected,208,,,8
2,362,Undirected,209,,,5
2,359,Undirected,210,,,0.5
6,14,Undirected,211,,,5
6,95,Undirected,212,,,5
1,361,Undirected,213,,,5
1,21,Undirected,214,,,5
1,362,Undirected,215,,,5
1,14,Undirected,216,,,5
377,359,Undirected,217,,,0.5
20,377,Undirected,218,,,5
20,21,Undirected,219,,,5
2,364,Undirected,220,,,5
1,7,Undirected,221,,,10
1,8,Undirected,222,,,10
1,6,Undirected,223,,,10
1,2,Undirected,224,,,10
1,25,Undirected,225,,,0.5
1,29,Undirected,226,,,0.5
1,31,Undirected,227,,,0.5
1,30,Undirected,228,,,0.5
1,32,Undirected,229,,,0.5
1,36,Undirected,230,,,5
1,34,Undirected,231,,,5
1,38,Undirected,232,,,0.5
1,40,Undirected,233,,,0.5
1,10,Undirected,234,,,8
1,41,Undirected,235,,,5
1,11,Undirected,236,,,10
1,12,Undirected,237,,,5
1,42,Undirected,238,,,5
1,16,Undirected,240,,,0.5
1,47,Undirected,241,,,5
1,45,Undirected,242,,,5
1,46,Undirected,243,,,5
1,48,Undirected,244,,,5
1,49,Undirected,245,,,5
1,54,Undirected,246,,,10
1,55,Undirected,247,,,5
1,19,Undirected,248,,,5
1,20,Undirected,249,,,10
1,17,Undirected,250,,,5
1,58,Undirected,251,,,5
1,59,Undirected,252,,,5
1,61,Undirected,253,,,5
1,62,Undirected,254,,,5
1,22,Undirected,256,,,1
2,7,Undirected,257,,,10
2,8,Undirected,258,,,10
2,6,Undirected,259,,,10
2,25,Undirected,260,,,0.5
2,29,Undirected,261,,,5
2,31,Undirected,262,,,0.5
2,30,Undirected,263,,,0.5
2,32,Undirected,265,,,0.5
2,36,Undirected,266,,,5
2,34,Undirected,267,,,8
2,37,Undirected,268,,,5
2,41,Undirected,269,,,5
2,11,Undirected,270,,,5
2,12,Undirected,271,,,5
2,42,Undirected,272,,,5
2,47,Undirected,273,,,5
2,45,Undirected,274,,,5
2,46,Undirected,275,,,0.5
2,48,Undirected,276,,,5
2,49,Undirected,277,,,5
2,58,Undirected,278,,,5
2,59,Undirected,279,,,5
2,61,Undirected,280,,,5
2,62,Undirected,281,,,5
2,16,Undirected,284,,,1
2,22,Undirected,285,,,0.5
6,7,Undirected,286,,,10
6,8,Undirected,287,,,10
6,25,Undirected,288,,,0.5
6,36,Undirected,289,,,5
6,34,Undirected,290,,,5
6,38,Undirected,291,,,0.5
6,40,Undirected,292,,,0.5
6,10,Undirected,293,,,8
6,41,Undirected,294,,,5
6,17,Undirected,295,,,10
6,43,Undirected,296,,,5
6,18,Undirected,297,,,5
6,50,Undirected,298,,,2
6,51,Undirected,299,,,2
6,54,Undirected,300,,,10
6,55,Undirected,301,,,5
6,19,Undirected,302,,,5
6,58,Undirected,303,,,5
6,59,Undirected,304,,,5
6,21,Undirected,305,,,8
6,16,Undirected,306,,,1
6,22,Undirected,307,,,1
7,8,Undirected,308,,,10
7,23,Undirected,309,,,5
7,24,Undirected,310,,,5
7,27,Undirected,311,,,5
7,28,Undirected,312,,,5
7,26,Undirected,313,,,5
7,33,Undirected,314,,,2
7,39,Undirected,315,,,5
7,40,Undirected,316,,,0.5
7,10,Undirected,317,,,8
7,41,Undirected,318,,,5
7,17,Undirected,319,,,5
7,43,Undirected,320,,,5
7,18,Undirected,321,,,5
7,53,Undirected,322,,,5
7,52,Undirected,323,,,5
7,56,Undirected,324,,,0.5
7,57,Undirected,325,,,0.5
7,58,Undirected,326,,,5
7,59,Undirected,327,,,5
7,60,Undirected,328,,,5
7,63,Undirected,329,,,0.5
7,64,Undirected,330,,,0.5
7,21,Undirected,331,,,8
7,16,Undirected,332,,,0.5
7,22,Undirected,333,,,0.5
8,23,Undirected,334,,,5
8,24,Undirected,335,,,5
8,27,Undirected,336,,,5
8,28,Undirected,337,,,5
8,26,Undirected,338,,,5
8,39,Undirected,339,,,5
8,40,Undirected,340,,,0.5
8,10,Undirected,341,,,8
8,41,Undirected,342,,,5
8,17,Undirected,343,,,10
8,43,Undirected,344,,,5
8,18,Undirected,345,,,5
8,52,Undirected,346,,,5
8,53,Undirected,347,,,5
8,56,Undirected,348,,,0.5
8,57,Undirected,349,,,0.5
8,58,Undirected,350,,,5
8,59,Undirected,351,,,5
8,21,Undirected,352,,,8
8,14,Undirected,353,,,8
8,63,Undirected,354,,,0.5
8,64,Undirected,355,,,0.5
8,16,Undirected,356,,,0.5
8,22,Undirected,357,,,0.5
10,40,Undirected,358,,,0.5
11,12,Undirected,359,,,5
11,41,Undirected,360,,,5
12,41,Undirected,361,,,5
14,21,Undirected,362,,,8
14,22,Undirected,364,,,0.5
16,21,Undirected,365,,,0.5
17,18,Undirected,366,,,10
17,43,Undirected,367,,,5
17,41,Undirected,368,,,5
17,54,Undirected,369,,,5
17,19,Undirected,370,,,5
18,43,Undirected,371,,,5
18,41,Undirected,372,,,5
18,54,Undirected,373,,,5
21,22,Undirected,374,,,0.5
23,24,Undirected,375,,,5
23,27,Undirected,376,,,5
23,28,Undirected,377,,,5
23,26,Undirected,378,,,5
24,27,Undirected,379,,,5
24,28,Undirected,380,,,5
24,26,Undirected,381,,,5
27,28,Undirected,382,,,5
27,26,Undirected,383,,,5
28,26,Undirected,384,,,5
29,31,Undirected,385,,,0.5
30,32,Undirected,386,,,0.5
34,36,Undirected,387,,,0.5
34,38,Undirected,388,,,0.5
34,37,Undirected,389,,,8
42,41,Undirected,390,,,5
43,41,Undirected,391,,,5
41,44,Undirected,392,,,0.5
41,35,Undirected,393,,,0.5
45,46,Undirected,394,,,5
46,48,Undirected,395,,,5
46,49,Undirected,396,,,5
52,56,Undirected,397,,,0.5
52,57,Undirected,398,,,0.5
53,56,Undirected,399,,,0.5
53,57,Undirected,400,,,0.5
2,65,Undirected,406,,,0.5
2,68,Undirected,407,,,5
2,71,Undirected,408,,,0.5
2,74,Undirected,409,,,5
2,75,Undirected,410,,,0.5
2,76,Undirected,411,,,8
2,77,Undirected,412,,,0.5
2,79,Undirected,413,,,8
2,80,Undirected,414,,,5
2,81,Undirected,415,,,5
2,82,Undirected,416,,,5
2,83,Undirected,417,,,5
2,84,Undirected,419,,,5
2,85,Undirected,420,,,5
2,86,Undirected,421,,,5
2,88,Undirected,422,,,0.5
2,89,Undirected,423,,,5
2,90,Undirected,424,,,0.5
2,91,Undirected,425,,,8
2,93,Undirected,426,,,0.5
2,94,Undirected,427,,,0.5
2,20,Undirected,428,,,5
2,99,Undirected,429,,,2
2,100,Undirected,430,,,5
2,101,Undirected,431,,,2
2,102,Undirected,432,,,2
2,105,Undirected,433,,,2
2,107,Undirected,434,,,2
2,108,Undirected,435,,,2
2,109,Undirected,436,,,2
2,110,Undirected,437,,,2
2,112,Undirected,438,,,2
2,114,Undirected,439,,,5
2,115,Undirected,440,,,5
2,116,Undirected,441,,,5
1,3,Undirected,445,,,10
1,5,Undirected,446,,,10
1,68,Undirected,448,,,5
1,69,Undirected,449,,,8
1,71,Undirected,450,,,0.5
1,74,Undirected,451,,,5
1,77,Undirected,453,,,0.5
1,79,Undirected,454,,,8
1,80,Undirected,455,,,5
1,81,Undirected,456,,,5
1,83,Undirected,457,,,5
1,9,Undirected,458,,,8
1,85,Undirected,459,,,5
1,86,Undirected,460,,,5
1,87,Undirected,461,,,5
1,78,Undirected,462,,,5
1,88,Undirected,463,,,5
1,92,Undirected,464,,,5
1,93,Undirected,465,,,0.5
1,94,Undirected,466,,,0.5
1,95,Undirected,467,,,5
1,96,Undirected,468,,,5
1,98,Undirected,469,,,5
1,104,Undirected,471,,,2
1,111,Undirected,472,,,2
